school_name,address,postal_code,dgp_code,zone_code,cluster_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,Y,X
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,BUKIT TIMAH,WEST,WEST 3,SECONDARY,No,No,No,Yes,1.332954,103.782566
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,PASIR RIS,EAST,EAST 1,SECONDARY,No,No,No,No,1.374513,103.954463
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,NOVENA,SOUTH,SOUTH 3,SECONDARY,No,No,No,No,1.319611,103.835757
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,BEDOK,EAST,EAST 4,SECONDARY,Yes,Yes,No,No,1.330302,103.941937
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,BISHAN,NORTH,NORTH 3,MIXED LEVEL,Yes,Yes,Yes,Yes,1.355193,103.846228
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,MARINE PARADE,EAST,EAST 4,SECONDARY,Yes,Yes,No,No,1.305368,103.890726
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547,YISHUN,NORTH,NORTH 2,SECONDARY,No,No,No,No,1.418737,103.837311
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,HOUGANG,SOUTH,SOUTH 1,SECONDARY,No,No,No,No,1.371204,103.896018
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,TOA PAYOH,NORTH,NORTH 4,MIXED LEVEL,Yes,Yes,No,No,1.341737,103.8782839
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,SENG KANG,NORTH,NORTH 4,SECONDARY,Yes,No,No,No,1.388713,103.890283
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,BUKIT TIMAH,WEST,WEST 2,SECONDARY,Yes,No,Yes,Yes,1.330651,103.802221
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,ANG MO KIO,NORTH,NORTH 6,MIXED LEVEL,Yes,Yes,No,Yes,1.373744,103.834301
MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD,297754,TOA PAYOH,SOUTH,SOUTH 3,PRIMARY,No,No,No,No,1.340206,103.839485
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,GEYLANG,EAST,EAST 7,SECONDARY,No,No,No,No,1.327215,103.901803
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,ANG MO KIO,NORTH,NORTH 6,SECONDARY,No,No,No,No,1.382254,103.8431
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD,139649,QUEENSTOWN,SOUTH,SOUTH 2,SECONDARY,No,Yes,No,No,1.301925,103.78446
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,TAMPINES,EAST,EAST 6,SECONDARY,No,Yes,No,No,1.354061,103.9569719
SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY,737913,WOODLANDS,NORTH,NORTH 8,MIXED LEVEL,No,No,No,No,1.426703,103.789056
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1,129957,CLEMENTI,WEST,WEST 1,MIXED LEVEL,No,No,No,Yes,1.307227,103.769412
SCHOOL OF THE ARTS SINGAPORE,1 ZUBIR SAID DRIVE,227968,CENTRAL,SOUTH,SOUTH 4,MIXED LEVEL,No,No,No,No,1.298907,103.84871
NORTHLIGHT SCHOOL,151 TOWNER ROAD,327830,MARINE PARADE,SOUTH,SOUTH 4,SECONDARY,No,No,No,No,1.352083,103.819836
ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD,679697,BUKIT PANJANG,WEST,WEST 6,SECONDARY,No,No,No,No,1.3705271,103.7667529
SCHOOL OF SCIENCE AND TECHNOLOGY SINGAPORE,1 TECHNOLOGY DRIVE,138572,CLEMENTI,WEST,WEST 5,SECONDARY,No,No,No,No,1.352083,103.819836
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24,609561,JURONG EAST,WEST,WEST 4,SECONDARY,No,No,No,No,1.343466,103.742462
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758,WOODLANDS,NORTH,NORTH 8,SECONDARY,No,No,No,No,1.352083,103.819836
