school_name,address,postal_code,dgp_code,zone_code,cluster_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,Y,X
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD,618654,JURONG WEST,WEST,WEST 4,SECONDARY,No,No,No,No,1.341917,103.720994
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65,648354,JURONG WEST,WEST,WEST 3,SECONDARY,No,No,No,No,1.342172,103.701945
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3,469293,BEDOK,EAST,EAST 2,SECONDARY,No,No,No,No,1.324312,103.9439189
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,JURONG WEST,WEST,WEST 4,SECONDARY,No,No,No,No,1.351473,103.72158
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,ANG MO KIO,NORTH,NORTH 6,SECONDARY,No,No,No,No,1.365893,103.852329
PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET,468980,BEDOK,EAST,EAST 5,SECONDARY,No,No,No,No,1.326674,103.920663
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,SERANGOON,SOUTH,SOUTH 6,SECONDARY,No,No,No,No,1.3587,103.870667
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21,529400,TAMPINES,EAST,EAST 6,SECONDARY,No,No,No,No,1.354805,103.948043
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,BISHAN,SOUTH,SOUTH 7,SECONDARY,No,No,No,No,1.344693,103.850566
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524,WOODLANDS,NORTH,NORTH 5,SECONDARY,No,No,No,No,1.44088,103.788728
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123,SERANGOON,SOUTH,SOUTH 6,SECONDARY,No,Yes,No,No,1.3494569,103.869187
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34,659322,BUKIT BATOK,WEST,WEST 4,SECONDARY,No,No,No,No,1.364045,103.750416
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25,658712,BUKIT BATOK,WEST,WEST 2,SECONDARY,No,No,No,No,1.342423,103.760309
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,TAMPINES,EAST,EAST 4,SECONDARY,No,No,No,No,1.340939,103.952619
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT,688848,CHOA CHU KANG,WEST,WEST 6,SECONDARY,No,No,No,No,1.382536,103.755214
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2,659204,BUKIT BATOK,WEST,WEST 2,SECONDARY,No,No,No,No,1.363886,103.74518
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,QUEENSTOWN,WEST,WEST 1,SECONDARY,No,No,No,No,1.30915,103.773605
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800,QUEENSTOWN,SOUTH,SOUTH 4,SECONDARY,No,No,No,No,1.293467,103.8128739
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889,SERANGOON,SOUTH,SOUTH 1,SECONDARY,No,No,No,No,1.36967,103.868983
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391,CLEMENTI,SOUTH,SOUTH 2,SECONDARY,No,No,No,No,1.309698,103.758184
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796,MARINE PARADE,EAST,EAST 5,SECONDARY,No,Yes,No,No,1.3086279,103.897257
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239,WOODLANDS,NORTH,NORTH 8,SECONDARY,No,No,No,No,1.436147,103.800671
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,YISHUN,NORTH,NORTH 6,SECONDARY,No,No,No,No,1.414902,103.83835
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,SEMBAWANG,NORTH,NORTH 8,SECONDARY,No,No,No,No,1.445241,103.816996
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE,545090,SENG KANG,NORTH,NORTH 1,SECONDARY,No,No,No,No,1.385933,103.898397
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,TAMPINES,EAST,EAST 3,SECONDARY,No,No,No,No,1.353327,103.933573
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,TAMPINES,EAST,EAST 3,SECONDARY,No,No,No,No,1.3559969,103.960586
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143,CHOA CHU KANG,WEST,WEST 2,SECONDARY,No,No,No,No,1.40005,103.746125
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,YISHUN,NORTH,NORTH 6,SECONDARY,No,No,No,No,1.421082,103.845179
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,PASIR RIS,EAST,EAST 1,SECONDARY,No,No,No,No,1.372334,103.959377
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,JURONG WEST,WEST,WEST 7,SECONDARY,No,No,No,No,1.346902,103.726756
